2|1|CA-2017-152156|2017-11-08 00:00:00|2017-11-11 00:00:00|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|42420|South|FUR-BO-10001798|Furniture|Bookcases|Bush Somerset Collection Bookcase|261.95999999999998|2|0|41.913600000000002
6|5|US-2016-108966|2016-10-11 00:00:00|2016-10-18 00:00:00|Standard Class|SO-20335|Sean O'Donnell|Consumer|United States|Fort Lauderdale|Florida|33311|South|OFF-ST-10000760|Office Supplies|Storage|Eldon Fold 'N Roll Cart System|22.368000000000002|2|0.20000000000000001|2.5163999999999991
10|9|CA-2015-115812|2015-06-09 00:00:00|2015-06-14 00:00:00|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|OFF-BI-10003910|Office Supplies|Binders|DXL Angle-View Binders with Locking Rings by Samsill|18.504000000000001|3|0.20000000000000001|5.7824999999999998
14|13|CA-2018-114412|2018-04-15 00:00:00|2018-04-20 00:00:00|Standard Class|AA-10480|Andrew Allen|Consumer|United States|Concord|North Carolina|28027|South|OFF-PA-10002365|Office Supplies|Paper|Xerox 1967|15.552000000000003|3|0.20000000000000001|5.4432
18|17|CA-2015-105893|2015-11-11 00:00:00|2015-11-18 00:00:00|Standard Class|PK-19075|Pete Kriz|Consumer|United States|Madison|Wisconsin|53711|Central|OFF-ST-10004186|Office Supplies|Storage|Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D|665.88|6|0|13.317599999999999
22|21|CA-2015-143336|2015-08-27 00:00:00|2015-09-01 00:00:00|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109|West|OFF-BI-10002215|Office Supplies|Binders|Wilson Jones Hanging View Binder, White, 1"|22.719999999999999|4|0.20000000000000001|7.3839999999999986
26|25|CA-2016-106320|2016-09-25 00:00:00|2016-09-30 00:00:00|Standard Class|EB-13870|Emily Burns|Consumer|United States|Orem|Utah|84057|West|FUR-TA-10000577|Furniture|Tables|Bretford CR4500 Series Slim Rectangular Table|1044.6299999999999|3|0|240.26490000000001
30|29|US-2016-150630|2016-09-17 00:00:00|2016-09-21 00:00:00|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-BI-10000474|Office Supplies|Binders|Avery Recycled Flexi-View Covers for Binding Systems|9.6180000000000021|2|0.69999999999999996|-7.0532000000000004
34|33|US-2016-150630|2016-09-17 00:00:00|2016-09-21 00:00:00|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-BI-10001525|Office Supplies|Binders|Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red|6.8580000000000014|6|0.69999999999999996|-5.7149999999999999
38|37|CA-2017-117590|2017-12-08 00:00:00|2017-12-10 00:00:00|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|75080|Central|FUR-FU-10003664|Furniture|Furnishings|Electrix Architect's Clamp-On Swing Arm Lamp, Black|190.91999999999999|5|0.59999999999999998|-147.96300000000002
42|41|CA-2016-117415|2016-12-27 00:00:00|2016-12-31 00:00:00|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041|Central|TEC-PH-10000486|Technology|Phones|Plantronics HL10 Handset Lifter|371.16800000000001|4|0.20000000000000001|41.756399999999957
46|45|CA-2017-118255|2017-03-11 00:00:00|2017-03-13 00:00:00|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|55122|Central|TEC-AC-10000171|Technology|Accessories|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack|45.979999999999997|2|0|19.7714
